V0,V1,V2,V3,V4,V6,V7,V8,V10,V12,V13,V14,V15,V16,V18,V19,V20,V21,V23,V24,V25,V26,V27,V29,V30,V31,V32,V33,V34,V35,V36,V37,target
1.860440,2.694506,0.823552,1.131977,0.869718,2.948455,2.813154,1.772741,0.146688,1.169002,1.243165,0.375550,0.449209,2.812843,0.666110,0.829057,0.267045,1.053470,6.347564,0.007955,0.238545,1.260716,5719.612243,0.410662,1.722323,7.958327,1.312338,0.433422,0.451430,5.237833,0.292041,0.669092,-1.656000
2.804440,5.066312,0.878848,1.069540,1.103321,2.774571,2.813154,2.917243,0.250957,1.722040,1.190122,0.385938,0.449209,2.617598,0.363301,0.821904,0.281642,1.055001,3.479655,0.007690,0.234902,1.297487,6487.367317,0.417773,1.607683,13.330814,1.555043,0.388275,0.432387,4.275075,0.204257,0.622584,-0.615000
1.968767,3.200223,0.764647,1.069540,0.863173,2.568019,2.529473,1.937530,0.398932,1.406589,1.233506,0.399252,0.444150,2.384715,0.364876,0.747092,0.262953,1.039135,3.472377,0.007690,0.227895,1.259848,4274.954021,0.414096,2.081782,9.136602,1.904190,0.384215,0.423122,3.987778,0.449250,0.714219,-1.366000
2.570093,4.442761,0.868759,1.072688,0.942927,2.505592,2.447956,2.751674,0.302147,1.731837,0.921506,0.401385,0.422196,2.150782,0.362122,0.876547,0.284199,1.098480,3.479655,0.006630,0.224996,1.107374,5967.986363,0.411440,2.977701,11.690091,2.068957,0.293072,0.460152,2.996210,0.174040,0.598371,-0.345000
1.698992,2.388407,0.784945,1.028928,0.780303,2.337113,2.337103,1.430692,0.267065,1.241273,1.251647,0.398268,0.422196,1.892790,0.362908,0.826405,0.257909,1.033627,3.455444,0.397309,0.220120,1.154574,4641.847771,0.372040,1.839431,6.627387,2.014773,0.293072,0.460152,2.996210,0.411322,0.632453,-1.625000
2.269463,4.891928,0.944918,1.038532,0.966317,2.354073,2.165068,2.473034,0.249121,1.636694,1.558312,0.393998,0.360918,1.940485,0.369414,0.790142,0.289889,0.983743,3.440986,0.397309,0.221561,1.178610,6570.972337,0.348153,1.855354,12.549391,2.616094,0.293072,0.460152,2.996210,0.219679,0.503598,-0.735000
3.788731,7.223936,1.085002,1.066396,1.088319,2.542903,2.165068,4.004354,0.251692,1.832543,1.476914,0.398103,0.356857,2.376284,0.558183,0.769921,0.320011,1.003427,6.319340,0.397069,0.228200,1.118662,8241.111004,0.302044,1.614189,18.014545,2.521724,0.414938,0.497661,5.237833,0.263746,0.433424,-0.153000
3.500778,7.087573,1.126601,1.139581,1.029866,2.737547,2.218861,3.497060,0.428527,1.787886,1.487516,0.405810,0.310325,2.615001,0.558412,0.771212,0.323210,1.007494,6.283209,0.397069,0.233430,1.211821,8388.248916,0.299716,1.310035,17.813861,1.824460,0.414938,0.500759,5.237833,0.421113,0.401209,0.054000
3.091816,6.084892,1.079939,1.163689,0.966981,2.886489,2.275178,3.275414,0.497603,1.643367,1.614639,0.393340,0.285261,2.871120,1.453576,0.785198,0.310307,0.986284,7.763063,0.529251,0.236942,1.328617,7176.258274,0.272938,1.316311,16.948667,1.304310,0.833161,0.968132,3.878544,0.496757,0.487312,0.037000
3.777881,7.438299,1.207781,1.192155,1.067099,3.107998,2.356543,4.850747,0.427672,1.572601,1.521352,0.398760,0.285261,3.213864,1.807934,0.707700,0.313265,1.013776,5.564083,0.531120,0.239944,1.472382,8968.108095,0.258757,1.138414,20.931854,1.072165,0.905111,0.743974,5.237833,0.342236,0.395369,0.295000
2.937245,4.803973,1.082976,1.178186,1.055882,3.332468,2.556593,3.445881,0.416820,1.515509,1.427102,0.387255,0.269755,3.411656,1.994597,0.669341,0.288002,1.033393,5.673310,0.531587,0.247081,1.549897,6924.534702,0.258757,1.115766,16.848830,1.035500,1.012101,1.170165,5.237833,0.413607,0.543115,0.064000
0.989417,1.113413,0.819685,0.928688,0.598937,3.257383,2.556593,1.112219,0.825568,0.810653,1.437514,0.407776,0.279607,2.977598,0.663396,0.719736,0.203286,1.024623,6.347564,0.531820,0.243797,1.497305,3142.620699,0.298474,1.271574,4.814854,1.017752,0.755399,0.780124,6.978160,0.926972,0.728259,-2.586000
1.231312,1.570783,0.782031,0.645583,0.769759,3.090120,2.567828,1.260968,0.067542,1.138709,1.249625,0.386596,0.308002,2.271150,0.795508,0.802946,0.234180,1.041598,10.679875,0.517791,0.245554,1.235695,4291.784005,0.301245,1.561240,5.570234,1.064533,0.602107,0.629815,6.978160,0.202729,0.690057,-2.613000
4.249103,6.590903,1.089399,0.779309,1.409861,3.101487,2.519957,5.281258,0.000945,1.645596,1.239538,0.395805,0.351734,2.250343,0.783812,0.791966,0.321678,1.046060,11.574893,0.006365,0.250154,1.186129,12685.017745,0.330473,1.967905,18.897444,1.712387,0.570523,0.653902,6.978160,0.005507,0.377658,-0.073000
5.521960,10.471130,1.216693,0.663257,1.607357,3.240508,2.454151,6.005798,0.140621,2.083968,2.041612,0.418567,0.351734,3.081304,0.814815,0.864375,0.331272,0.896411,11.561377,0.006100,0.251848,1.160762,13098.851378,0.364795,3.820528,30.865496,2.839524,0.539188,0.780124,8.976832,0.094967,0.357711,1.273000
5.306152,10.527051,1.320559,0.801430,1.476606,3.812551,2.667433,5.895762,0.602125,2.450466,1.637377,0.416934,0.408795,4.175698,0.666604,0.637043,0.329399,0.971755,11.561377,0.006100,0.247020,1.221167,10463.423125,0.379157,1.629440,30.374004,1.623540,0.570523,0.785817,9.178637,0.457622,0.367899,1.849000
3.948817,7.442107,1.161955,0.731667,1.161229,4.024243,2.667433,4.315730,0.873938,1.934762,1.638309,0.399744,0.405516,4.217564,0.667345,0.733620,0.290516,0.966811,3.698917,0.006100,0.238450,1.223297,9173.527004,0.360524,1.499864,22.482945,1.173322,0.466436,0.581735,9.178637,0.941707,0.481997,0.718000
3.716854,6.618478,1.167899,0.682306,1.097949,4.197411,3.041956,4.131958,0.614455,1.929776,1.414574,0.383137,0.395675,4.106053,1.211246,0.701460,0.256543,1.019837,6.331423,0.006100,0.236749,1.350221,7944.059979,0.357800,1.114642,20.746147,1.017183,0.640143,0.694432,2.824428,0.631244,0.500501,0.396000
2.775882,5.349091,1.040833,0.618513,1.053089,4.141767,3.097713,3.681899,0.650027,1.780224,1.340611,0.392354,0.371561,3.604040,0.930470,0.645971,0.210335,1.036907,11.622306,0.006100,0.238801,1.436416,5258.722509,0.350619,1.546438,19.933629,1.207926,0.708288,1.152914,4.403659,0.480655,0.668968,-0.553000
2.640534,4.445242,1.062474,0.466550,1.031244,3.913330,3.179084,3.177353,0.179032,1.483603,1.325982,0.392847,0.371561,3.065049,0.910231,0.706950,0.220356,1.032457,5.007931,0.006630,0.242647,1.329961,8251.539309,0.341792,3.035514,12.902677,1.997822,0.602107,0.613971,5.237833,0.261033,0.501791,-0.308000
2.765940,4.550452,0.948088,0.451888,1.046472,3.727030,3.108964,2.902911,0.303304,1.548414,1.269923,0.393833,0.344321,2.981922,0.398050,0.779488,0.203459,1.038197,7.643901,0.006895,0.242678,1.394065,7493.570577,0.330812,2.428575,13.885483,2.027327,0.602107,0.613971,3.878544,0.355802,0.589047,-0.496000
3.777881,7.971358,1.201740,0.426577,1.265240,3.727030,3.108964,5.019818,0.270990,1.806846,1.366729,0.394983,0.340798,3.180301,0.785933,0.593296,0.219940,1.026258,11.507449,0.006100,0.242272,1.492012,11545.141881,0.324662,1.963744,23.181681,1.571603,0.396508,0.535779,5.237833,0.223837,0.370843,0.710000
4.668548,8.765020,1.499937,0.433032,1.274609,4.048335,3.069731,5.982629,0.506397,1.992109,1.530323,0.403844,0.330230,3.180301,0.785933,0.553146,0.239929,0.999134,11.487282,0.387928,0.247476,1.568174,11545.141881,0.308169,1.694452,28.505483,2.248169,0.396508,0.535779,8.013086,0.459993,0.026340,0.977000
4.571239,8.990187,1.318700,0.425719,1.208009,4.415243,3.219452,6.086166,0.770116,1.734725,1.274411,0.404500,0.315019,4.732599,0.785137,0.652029,0.262055,1.055001,11.561377,0.455567,0.254517,1.690501,9359.852895,0.286455,2.041317,29.934594,2.911896,0.539188,0.535779,9.178637,0.608515,0.451387,0.894000
4.009013,8.442499,1.230299,0.400160,1.164190,4.426045,3.439853,4.959995,0.564052,1.753875,1.585655,0.422484,0.315019,4.288748,0.784077,0.588605,0.239294,1.014359,11.642677,0.372732,0.257517,1.777059,9767.756528,0.294726,1.406357,26.026142,2.617168,0.539188,0.535779,9.178637,0.533190,0.472515,0.487000
3.808686,6.885283,1.184761,0.360907,1.134787,4.417402,3.557742,4.773310,0.491098,1.858493,1.520008,0.416934,0.305183,4.136053,0.786729,0.640899,0.234260,1.030467,11.473854,0.362814,0.258798,1.879110,7361.337108,0.296420,1.542227,24.485463,1.657755,0.539188,0.535779,9.178637,0.428456,0.524305,-0.169000
2.257294,4.354228,1.019729,0.364417,0.909581,4.172607,3.557742,2.907205,0.341155,1.624508,1.700908,0.402041,0.300560,3.509245,1.294683,0.634398,0.215755,0.990100,11.507449,0.531120,0.260799,1.856977,5929.708761,0.283285,1.484104,15.023509,1.730059,0.616348,0.637772,9.178637,0.419441,0.597993,-1.083000
3.291367,6.020792,1.426725,0.376451,0.907019,4.255750,3.503564,4.995375,0.228605,1.536683,1.665922,0.407121,0.286267,3.343079,0.669323,0.581128,0.241906,0.996352,6.291223,0.531353,0.259731,1.591581,10065.757148,0.274409,1.524070,20.443453,1.603548,0.640143,0.785817,6.055623,0.198162,0.191527,0.116000
2.526142,5.060786,1.131767,0.387738,0.916967,4.287271,3.551456,3.165071,0.491770,1.491927,1.466353,0.392683,0.247138,4.117282,0.008920,0.824551,0.235785,1.037728,6.207511,0.530653,0.267279,1.393143,7176.258274,0.223667,1.476607,17.177516,1.373578,0.737756,0.953241,2.487170,0.478465,0.543625,-0.564000
3.133766,6.104233,1.254834,0.408424,0.983659,4.222334,3.616854,3.794049,0.412166,1.784937,1.562397,0.415300,0.247138,3.483002,0.668086,0.693751,0.270435,1.014009,6.243270,0.530653,0.266308,1.284282,9395.185407,0.234596,1.547843,19.579340,2.855495,0.401110,0.251102,5.976392,0.428667,0.400546,-0.373000
4.033672,8.048313,1.344087,0.432601,1.109428,4.344483,3.694038,5.414905,0.319625,1.714001,1.554685,0.413339,0.252705,3.892030,0.685486,0.908508,0.290237,1.019137,6.291223,0.400192,0.269577,0.994732,11331.936205,0.249458,1.470492,26.373969,1.941446,0.433422,0.520514,5.976392,0.330382,0.337108,0.169000
4.351064,8.216499,1.242537,0.493564,1.157535,4.624156,3.694038,4.878961,0.401652,1.878581,1.493275,0.400893,0.285681,4.202301,1.042659,0.860063,0.339278,1.024039,6.295233,0.400192,0.274254,0.902826,8833.589214,0.284647,1.884261,27.498089,3.237064,0.665571,0.613971,5.237833,0.396680,0.484331,0.408000
4.640883,8.080902,1.309057,0.518270,1.160860,4.803905,3.899716,4.790430,0.468235,1.930399,1.920176,0.409576,0.285681,4.160559,1.044172,0.822169,0.338364,0.954423,6.291223,0.397309,0.270371,1.064461,10179.709865,0.299059,1.874590,23.532121,2.000492,0.665571,0.613971,5.237833,0.448181,0.333189,0.864000
4.679222,7.919060,1.564066,0.537131,1.081927,5.387527,4.018765,5.825003,0.610092,1.852435,1.490616,0.384785,0.311044,4.331537,1.043264,0.852538,0.338364,1.037611,6.283209,0.397309,0.268352,0.936427,10862.384139,0.303783,1.986287,27.736380,1.887030,0.665571,0.613971,5.237833,0.531823,0.189692,1.168000
4.377360,8.220638,1.408616,0.536903,1.267188,5.736122,4.193333,5.512737,0.623459,1.793796,1.553779,0.418077,0.311044,5.279707,1.045080,0.801898,0.338791,1.032457,4.618594,0.531587,0.267064,1.010671,11261.699665,0.277643,1.460341,27.484129,2.786373,0.665571,0.669985,2.996210,0.623953,0.355427,0.972000
4.432373,8.566006,1.545085,0.561032,1.191040,5.972112,4.615587,5.619332,0.517978,1.966126,2.105757,0.409413,0.301212,5.243058,1.041147,0.763226,0.334434,0.916279,4.590919,0.397069,0.267951,1.164071,11602.634700,0.286982,2.588313,29.874430,1.954559,0.570523,0.785817,5.296892,0.523198,0.249281,1.083000
3.913412,7.775732,1.562851,0.568214,1.034348,6.382972,4.615587,4.913869,0.568997,1.843375,1.164233,0.447198,0.307118,5.537420,1.046291,0.870047,0.321550,0.862485,4.359821,0.397069,0.270503,0.850070,9454.353610,0.296052,1.538723,24.060372,1.758429,0.570523,0.785817,3.987778,0.544171,0.345202,0.922000
3.450004,6.059184,1.419004,0.569375,0.963334,6.304771,4.961065,4.262839,0.459018,1.600870,1.268700,0.427374,0.307118,5.023117,1.042961,0.846912,0.308918,0.841058,4.448660,0.463390,0.271868,0.890358,9406.990937,0.259716,2.138690,19.745365,3.532636,0.665571,0.613971,3.987778,0.485707,0.370977,0.442000
3.850677,7.385162,1.288407,0.565662,1.026426,6.111276,4.955550,5.221199,0.433668,1.636694,1.939533,0.415627,0.274918,5.023117,1.026388,0.667871,0.311230,0.654998,10.736786,0.463390,0.271554,1.052325,9081.685909,0.253929,1.363398,23.605208,1.887030,0.665571,0.968132,4.964213,0.403257,0.358919,0.385000
3.141582,5.969918,1.373127,0.577053,0.771803,6.301889,4.950040,4.467479,0.418728,1.337154,1.578795,0.418240,0.266720,4.933380,0.899483,0.758090,0.316913,0.769084,10.155047,0.596763,0.273609,1.123520,10424.298998,0.237540,1.643326,19.159525,2.772917,0.129708,0.221144,6.135734,0.411322,0.312848,0.193000
2.205530,4.583432,1.444951,0.580787,0.587502,6.646372,5.194482,4.120568,0.413857,1.083040,1.465036,0.435186,0.266720,5.397935,1.044172,0.742761,0.308587,0.809241,6.203548,0.596763,0.278042,1.289554,9755.522893,0.194719,2.083517,16.623858,1.899031,0.602107,0.316118,6.727683,0.427194,0.234416,0.017000
2.530113,5.663024,1.382241,0.560107,0.634186,6.785951,5.194482,5.725128,0.421490,1.016580,1.433605,0.442171,0.197230,5.494555,1.042054,0.766313,0.297618,0.817686,6.093471,0.596532,0.285226,1.345703,9990.460564,0.163910,1.645526,22.204090,1.789587,0.639146,0.694432,5.976392,0.379791,0.279086,0.505000
2.733466,5.816336,1.318329,0.539188,0.662388,7.015511,5.520837,5.414905,0.478178,1.064190,1.184213,0.429165,0.192258,5.875304,1.042356,0.658106,0.273941,0.875320,7.767862,0.596763,0.287859,1.387618,10040.598807,0.169746,2.284468,21.894041,2.280191,0.665571,0.694432,4.403659,0.439871,0.344663,0.705000
2.839007,6.078457,1.401328,0.515107,0.677821,7.091312,5.660990,5.757433,0.484846,1.145250,1.777901,0.428677,0.185120,5.800442,1.044172,0.652514,0.262204,0.728599,11.393570,0.596993,0.285894,1.558278,9609.845895,0.180552,2.093946,23.362362,2.953837,0.665571,0.694432,1.408635,0.470174,0.239564,0.529000
1.673616,4.948591,1.280705,0.482887,0.478748,7.222354,5.860904,5.474388,0.473529,0.815221,1.365459,0.444280,0.184715,5.792999,0.670808,0.637766,0.218522,0.831225,9.969237,0.694215,0.286963,1.656942,11689.382263,0.158301,2.194007,21.030764,1.927525,0.614801,0.637772,4.964213,0.476715,0.456093,-0.061000
1.611402,6.175587,1.339964,0.468529,0.468061,7.190212,6.079723,5.799902,0.325314,0.867623,1.458020,0.437461,0.176041,5.867782,0.360355,0.581128,0.230220,0.810994,7.577856,0.693763,0.289309,1.607139,12238.041662,0.155423,1.801613,25.161375,1.465321,0.477261,0.564800,6.135734,0.344975,0.418541,-0.401000
2.014063,6.290537,1.256284,0.462818,0.648473,7.164582,6.079723,5.175380,0.319625,1.050916,1.223086,0.421831,0.158278,5.973814,0.558183,0.603659,0.252185,0.864490,4.668144,0.677004,0.299218,1.669284,11317.855813,0.172542,1.547140,25.866982,1.453099,0.390305,0.182031,3.987778,0.306491,0.459879,-0.111000
3.785111,7.584143,1.262822,0.477793,0.984329,7.078632,6.231576,6.581577,0.431309,1.378729,1.356588,0.419057,0.184411,5.852762,0.583676,0.578565,0.290794,0.850588,4.668144,0.531353,0.298195,1.922188,13508.793558,0.211768,1.488204,31.395416,1.416137,0.406681,0.333504,3.987778,0.385664,0.478882,0.387000
3.102650,5.608661,1.105708,0.469849,1.166784,6.959096,6.335686,4.577913,0.684090,1.636694,0.991648,0.444118,0.260420,5.660372,0.580873,0.698473,0.308521,0.919451,4.743313,0.397309,0.287647,1.512287,8004.674721,0.211768,2.136923,29.116676,1.932737,0.420413,0.386838,3.987778,0.582343,0.608927,-0.007000
2.677687,4.271956,1.010233,0.516688,1.091167,6.520987,6.482498,3.460677,0.361666,1.423183,1.336841,0.441197,0.260420,4.078090,0.763006,0.685085,0.282709,0.818785,4.981575,0.006630,0.275153,1.251190,10781.457759,0.300299,2.457779,14.925626,2.735042,0.659790,0.582432,3.987778,0.462153,0.509268,0.053000
4.479663,7.752057,1.345964,0.512400,1.176823,6.235916,6.109188,6.091381,0.352373,2.122333,1.346906,0.453838,0.349743,4.620322,0.760913,0.786758,0.322508,0.829571,6.287215,0.006630,0.263329,1.329065,12072.431836,0.341065,1.969571,26.239705,2.227956,0.595823,0.661931,4.577303,0.336196,0.280872,0.838000
5.040177,8.725780,1.381481,0.541933,1.134787,6.241631,6.109188,6.346061,0.630551,2.008071,1.336004,0.448495,0.357003,4.815072,0.759344,0.685332,0.343756,0.832880,6.295233,0.006630,0.258684,1.376151,11660.398430,0.328021,1.862551,30.130870,2.063493,0.526627,0.535779,4.734973,0.492105,0.348704,0.647000
4.750159,7.724512,1.228146,0.621133,1.107989,6.322081,6.178403,5.852718,0.546522,1.939756,1.462403,0.413992,0.351439,5.393258,0.760390,0.687310,0.384159,0.807270,6.287215,0.006630,0.265139,1.361557,10889.487122,0.314561,1.924939,27.750453,1.555043,0.526627,0.535779,5.237833,0.597276,0.475115,0.079000
4.454941,8.358196,1.170701,0.703998,1.150903,6.167676,6.191660,5.880540,0.439260,1.890829,1.450586,0.393505,0.334362,5.174905,0.758822,0.731342,0.390088,0.815600,6.279205,0.006365,0.267441,1.402844,10875.927640,0.299205,1.327029,29.649768,1.323765,0.526627,0.535779,5.237833,0.414022,0.493653,0.829000
4.123817,7.223936,1.117673,0.697567,1.197810,6.164846,6.214919,5.624217,0.588456,2.008711,1.186181,0.401221,0.326373,5.087396,0.763006,0.662494,0.374844,0.872972,6.279205,0.006365,0.262638,1.420035,9706.733225,0.299205,1.559119,29.234402,1.229002,0.526627,0.535779,5.237833,0.497645,0.561324,0.921000
3.867206,7.116873,1.116987,0.668369,1.156428,5.903504,6.115751,5.503129,0.467354,2.125663,1.252456,0.372411,0.326373,4.452009,0.762744,0.671056,0.371754,0.856475,6.331423,0.006365,0.254022,1.332652,12283.579792,0.322937,1.489573,25.135572,1.302976,0.526627,0.535779,5.237833,0.530685,0.506820,0.692000
3.688403,6.185371,0.980704,0.677895,1.156428,5.675020,6.115751,4.393069,0.624436,1.935386,1.248008,0.343548,0.345291,4.524385,0.759867,0.740218,0.383143,0.845708,6.327393,0.006365,0.249196,1.285599,9013.376934,0.331151,1.847380,23.459234,1.732478,0.526627,0.535779,5.237833,0.674212,0.593838,-0.548000
4.257031,8.266278,1.118358,0.874349,1.199318,5.531050,5.908599,5.809932,0.304462,2.157824,1.170874,0.321837,0.348041,4.327633,0.759606,0.690280,0.374294,0.865493,6.275204,0.006365,0.247658,1.305893,10333.547140,0.339141,1.723081,28.736965,2.353156,0.526627,0.535779,5.237833,0.289250,0.528920,1.291000
3.358409,5.551750,1.026302,1.007578,1.147595,5.395138,5.829285,3.947250,0.601162,1.981307,1.177534,0.302524,0.356056,4.388474,0.761174,0.786498,0.327200,0.857031,6.275204,0.006365,0.239659,1.331306,8014.819640,0.335400,1.933149,20.144673,1.917130,0.526627,0.535779,5.237833,0.554314,0.578690,0.802000
2.251228,2.927947,0.819685,0.993899,0.875351,5.078050,5.722844,2.633141,0.718061,1.407090,1.148295,0.336214,0.333981,3.545589,0.762482,0.674984,0.253030,0.855141,6.299245,0.006365,0.226775,1.387618,5012.306354,0.335400,2.091335,12.661503,2.377167,0.526627,0.535779,5.237833,0.751057,0.699027,-0.527000
2.322359,4.257571,0.963693,0.975857,0.805812,4.769348,5.263650,3.251849,0.325904,1.375272,0.998508,0.319491,0.333981,3.054741,0.909947,0.773278,0.225153,0.884054,8.140132,0.361119,0.220402,1.364286,8014.819640,0.274409,2.805901,13.885483,2.841802,0.619000,0.694432,4.294957,0.337362,0.505918,-0.121000
2.388839,4.825174,0.977162,0.762218,0.815118,4.588423,5.263650,3.316585,0.298108,1.461388,1.140174,0.313956,0.270447,3.097628,0.909947,0.774570,0.228837,0.839067,11.440344,0.531587,0.226945,1.420968,9525.821015,0.240632,2.100920,17.427736,2.774037,0.602107,0.694432,9.178637,0.420486,0.519043,-0.624000
2.715241,6.081674,1.208493,0.729411,0.710092,4.725865,4.955550,5.066753,0.226988,1.191728,1.323899,0.333710,0.220488,3.683759,0.668828,0.653971,0.228837,0.805628,9.915843,0.693311,0.242210,1.568669,10141.590646,0.216178,2.233886,22.895164,2.345190,0.591527,0.613971,9.178637,0.229061,0.312848,-0.399000
2.303802,5.501237,0.977484,0.729912,0.753515,4.897048,5.022069,5.184517,0.424045,1.120525,0.763098,0.341715,0.211689,4.230957,0.497738,0.642588,0.266971,0.931372,6.315317,0.592613,0.259703,1.446299,7628.050117,0.184039,2.091335,21.296548,3.352293,0.414938,0.535779,6.978160,0.369334,0.600761,-0.618000
2.400270,5.141410,1.010886,0.733172,0.912467,4.689497,5.114741,3.093682,0.247106,1.383676,1.141719,0.324014,0.199207,3.424539,0.759606,0.658837,0.295151,0.839398,6.255229,0.531353,0.264264,1.626845,9915.697305,0.206869,1.742865,15.639745,2.213596,0.458113,0.512782,6.350971,0.298209,0.474336,-0.698000
3.073312,5.976257,1.317586,0.779309,0.863173,4.963114,5.064019,4.822666,0.292172,1.270521,1.383718,0.318821,0.226244,3.867042,0.781959,0.627441,0.348889,0.785996,11.500723,0.531587,0.271029,1.708223,9866.149664,0.225306,1.721566,21.363456,2.868088,0.846230,0.799796,5.112146,0.270653,0.300449,-0.198000
2.580835,6.146313,1.199256,0.904606,0.673199,5.397677,5.064019,5.663422,0.468675,1.048851,0.898669,0.338549,0.226244,4.918192,0.559792,0.710702,0.355288,0.891575,6.311295,0.531587,0.277136,1.673411,10808.369600,0.197100,1.640396,24.309627,2.217419,0.542249,0.665955,6.350971,0.307815,0.483424,0.282000
2.989595,6.055977,1.207781,0.975304,0.744603,5.379924,5.339444,4.728605,0.383561,1.264449,1.312265,0.301345,0.204996,4.661649,0.560712,0.607916,0.352074,0.813954,6.299245,0.531820,0.275817,1.895820,11864.722341,0.187315,1.447552,24.435110,1.304978,0.476720,0.613971,6.978160,0.401404,0.432504,0.520000
2.909124,5.191987,1.050462,0.971987,0.907339,5.596118,5.442906,4.099752,0.586785,1.367395,1.328067,0.289198,0.224928,4.832134,0.781959,0.641622,0.332516,0.800162,6.299245,0.531353,0.271344,1.775451,8934.297775,0.222023,1.730671,21.632954,1.747855,0.750563,0.836780,5.237833,0.644700,0.526485,-0.083000
